,tweet_text,emotion_in_tweet_is_directed_at,is_there_an_emotion_directed_at_a_brand_or_product,preprocessed_text,predict_directed,predict_emotion,positive,negative,predict_positive,predict_negative
1925,Google: taking about new product called Hotpot. Review/recommendations engine that is also a social tool. #sxsw,,No emotion toward brand or product,"['googl', 'take', 'new', 'product', 'call', 'hotpot', 'review', 'recommend', 'engin', 'also', 'social', 'tool', 'sxsw']",Google,No emotion,0,0,0,0
1926,Apple's taking old iPads for Teach For America (user gets a tax write-off) when you buy a new iPad. Kinda cool. #sxsw,Apple,Positive emotion,"['appl', 'take', 'old', 'ipad', 'teach', 'america', 'user', 'get', 'tax', 'write', 'buy', 'new', 'ipad', 'kinda', 'cool', 'sxsw']",Ipad,Positive emotion,1,0,1,0
1927,9 Essential Apps for #SXSW and Beyond | Underwire | Wired.com {link} #SocialMedia #iPhone #Android,iPad or iPhone App,Positive emotion,"['essenti', 'app', 'sxsw', 'beyond', 'underwir', 'wire', 'com', 'link', 'socialmedia', 'iphon', 'android']",Ipad or Iphone App,No emotion,1,0,0,0
1928,5 Essential Business #Collaboration Apps for #iPad {link} #BPM #SXSW #SXSWi,,No emotion toward brand or product,"['essenti', 'busi', 'collabor', 'app', 'ipad', 'link', 'bpm', 'sxsw', 'sxswi']",Ipad or Iphone App,No emotion,0,0,0,0
1929,"Existential Google. MT @mention ÛÏContextual DiscoveryÛ Demo: where you are, your history, time of search to refine results. #SXSW",,No emotion toward brand or product,"['existenti', 'googl', 'mention', 'ûïcontextu', 'discoveri', 'demo', 'histori', 'time', 'search', 'refin', 'result', 'sxsw']",Google,No emotion,0,0,0,0
1930,My informal unscientific observation is that #Apple is by far the computer of choice at #SXSW. Hands down.  No contest.,Apple,Positive emotion,"['inform', 'unscientif', 'observ', 'appl', 'far', 'comput', 'choic', 'sxsw', 'hand', 'contest']",Apple,No emotion,1,0,0,0
1931,#sxsw Haralambous &quot;iPhone is 1% of Africa market&quot;,,No emotion toward brand or product,"['sxsw', 'haralamb', 'quot', 'iphon', 'africa', 'market', 'quot']",Iphone,No emotion,0,0,0,0
1932,"Samsung Galaxy S II Appears At FCC And Team Android #SXSW Party åÈ Android Phones, Android Tablets, News, Tech, Gad.. 
{link}",,No emotion toward brand or product,"['samsung', 'galaxi', 'appear', 'fcc', 'team', 'android', 'sxsw', 'parti', 'android', 'phone', 'android', 'tablet', 'news', 'tech', 'gad', 'link']",Android,No emotion,0,0,0,0
1933,Samsung Galaxy S II Appears At FCC And Team Android #SXSW Party {link} via @mention,,No emotion toward brand or product,"['samsung', 'galaxi', 'appear', 'fcc', 'team', 'android', 'sxsw', 'parti', 'link', 'via', 'mention']",Android,No emotion,0,0,0,0
1934,@mention Alive and loving it! Great talks from Jonathan Dahl #minimalistprogramming and Google's Marissa Mayer #MarissaGoogle - #sxsw,Google,Positive emotion,"['mention', 'aliv', 'love', 'great', 'talk', 'jonathan', 'dahl', 'minimalistprogram', 'googl', 'marissa', 'mayer', 'marissagoogl', 'sxsw']",Google,Positive emotion,1,0,1,0
1935,Sudden realization in session news publishers have the same questions about iPad design &amp; only share ideas via the App Store #sxsw #sxswi,,No emotion toward brand or product,"['sudden', 'realiz', 'session', 'news', 'publish', 'question', 'ipad', 'design', 'amp', 'share', 'idea', 'via', 'app', 'store', 'sxsw', 'sxswi']",Ipad or Iphone App,No emotion,0,0,0,0
1936,I just realized my iPhone's gonna go nuts with Foursquare and Gowalla updates. #SXSW,,I can't tell,"['realiz', 'iphon', 'gonna', 'nut', 'foursquar', 'gowalla', 'updat', 'sxsw']",Iphone,No emotion,0,0,0,0
1937,I just realized that I havnt used my laptop since Thursday. Pure #iPhone with a sprinkle of the #iPad2 on top. #Apple #SXSW,iPhone,Positive emotion,"['realiz', 'havnt', 'use', 'laptop', 'sinc', 'thursday', 'pure', 'iphon', 'sprinkl', 'ipad2', 'top', 'appl', 'sxsw']",Iphone,No emotion,1,0,0,0
1938,GroupMe talks about Apple App Store approval woes - there would be a big group of people that would agree with that! #whowillrise #sxsw,Apple,Negative emotion,"['groupm', 'talk', 'appl', 'app', 'store', 'approv', 'woe', 'would', 'big', 'group', 'peopl', 'would', 'agre', 'whowillris', 'sxsw']",Ipad or Iphone App,No emotion,0,1,0,0
1939,It's not all Apple love here at #sxsw. Heard quite a bit of grumbling about holding back features on iPad 1 so people would have to buy v2.,Apple,Negative emotion,"['appl', 'love', 'sxsw', 'heard', 'quit', 'bit', 'grumbl', 'hold', 'back', 'featur', 'ipad', 'peopl', 'would', 'buy']",Ipad,Positive emotion,0,1,1,0
1940,Why does all the #Android meetups here in #Austin are when I'm at work. Well at least there is the PS meetup #sxsw,Android,Negative emotion,"['android', 'meetup', 'austin', 'work', 'well', 'least', 'meetup', 'sxsw']",Android,No emotion,0,1,0,0
1941,Server Challenge is a huge hit at #sxsw! Come by booth 400 to try your hand. Win an iPhone 4 bottle opener case by beating 2 mins.,,No emotion toward brand or product,"['server', 'challeng', 'huge', 'hit', 'sxsw', 'come', 'booth', '400', 'tri', 'hand', 'win', 'iphon', 'bottl', 'open', 'case', 'beat', 'min']",Iphone,No emotion,0,0,0,0
1942,Google challenges Facebook with surprise announcement at #sxsw this weekend. @mention has the inside scoop: {link},,No emotion toward brand or product,"['googl', 'challeng', 'facebook', 'surpris', 'announc', 'sxsw', 'weekend', 'mention', 'insid', 'scoop', 'link']",Google,No emotion,0,0,0,0
1943,#virtualwallet #sxsw #paypal we get physical goods cut #apple gets their 30% on software and virtual goods,,No emotion toward brand or product,"['virtualwallet', 'sxsw', 'paypal', 'get', 'physic', 'good', 'cut', 'appl', 'get', 'softwar', 'virtual', 'good']",Apple,Positive emotion,0,0,1,0
1944,#virtualwallet #sxsw no NFC in #iphone5 bc of standardization while #android will have it #confusion,iPhone,Negative emotion,"['virtualwallet', 'sxsw', 'nfc', 'iphone5', 'standard', 'android', 'confus']",Android,No emotion,0,1,0,0
1945,"@mention allows you to volunteer on your iPad, #SXSW",,No emotion toward brand or product,"['mention', 'allow', 'volunt', 'ipad', 'sxsw']",Ipad,No emotion,0,0,0,0
1946,I was finally forced to google #sxsw. Why can't people tweet with better #contextclues like on #jeopardy?,,No emotion toward brand or product,"['final', 'forc', 'googl', 'sxsw', 'peopl', 'tweet', 'better', 'contextclu', 'like', 'jeopardi']",Google,Positive emotion,0,0,1,0
1947,Apple. Really? You need brand recognition? I prefer the Red Delicious Variety! :-) {link} #sxsw #popupstores,,No emotion toward brand or product,"['appl', 'realli', 'need', 'brand', 'recognit', 'prefer', 'red', 'delici', 'varieti', 'link', 'sxsw', 'popupstor']",Apple,No emotion,0,0,0,0
1948,New #socialnetwork for #Google? #Facebook #Twitter #SXSW {link} via @mention,,No emotion toward brand or product,"['new', 'socialnetwork', 'googl', 'facebook', 'twitter', 'sxsw', 'link', 'via', 'mention']",Google,No emotion,0,0,0,0
1949,{link} - Alright #SXSW iPad 2 line time. Line is reasonable. 1/4 block + 1 block + 1/2 block,,No emotion toward brand or product,"['link', 'alright', 'sxsw', 'ipad', 'line', 'time', 'line', 'reason', 'block', 'block', 'block']",Ipad,No emotion,0,0,0,0
1950,"@mention also check out @mention for #Android &amp; web. Has group chat, whiteboarding, location &amp; image sharing, and more. #app #SXSW",,No emotion toward brand or product,"['mention', 'also', 'check', 'mention', 'android', 'amp', 'web', 'group', 'chat', 'whiteboard', 'locat', 'amp', 'imag', 'share', 'app', 'sxsw']",Android App,No emotion,0,0,0,0
1951,And. I'm also gonna Google #SXSW so I will finally know what that means. Been seeing it pass by on Twitter enough times now. Gotta find out.,,No emotion toward brand or product,"['also', 'gonna', 'googl', 'sxsw', 'final', 'know', 'mean', 'see', 'pass', 'twitter', 'enough', 'time', 'gotta', 'find']",Google,No emotion,0,0,0,0
1952,@mention also if your at #sxsw and have an iphone you can use the @mention site to check in.,,No emotion toward brand or product,"['mention', 'also', 'sxsw', 'iphon', 'use', 'mention', 'site', 'check']",Iphone,No emotion,0,0,0,0
1953,#sxsw #health2dev Zeiger &quot;Health is moving so much slower than we could be.&quot; #Google,,No emotion toward brand or product,"['sxsw', 'health2dev', 'zeiger', 'quot', 'health', 'move', 'much', 'slower', 'could', 'quot', 'googl']",Google,No emotion,0,0,0,0
1954,Monthly value of user iOS $9.50. Android $7.20. Utility apps most valuable. #sxswEisner #sxsw,,Positive emotion,"['monthli', 'valu', 'user', 'io', 'android', 'util', 'app', 'valuabl', 'sxsweisner', 'sxsw']",Android App,No emotion,1,0,0,0
1955,DL the #Calyp App to get into #Calyp Casa at #SXSW the free mobile app is available in iTunes App Store &amp; Android Market. See u there!,,No emotion toward brand or product,"['calyp', 'app', 'get', 'calyp', 'casa', 'sxsw', 'free', 'mobil', 'app', 'avail', 'itun', 'app', 'store', 'amp', 'android', 'market', 'see']",Android App,No emotion,0,0,0,0
1956,DL the #Calyp App today! Avail in the iTunes App Store &amp; Android Market! #Calyp Look for us at #SXSW,Android App,Positive emotion,"['calyp', 'app', 'today', 'avail', 'itun', 'app', 'store', 'amp', 'android', 'market', 'calyp', 'look', 'sxsw']",Android App,No emotion,1,0,0,0
1957,DL the #Calyp app today! Avail in the iTunes App Store &amp; Android Market. Special perks for #Endorsers at #SXSW #Calyp Casa,,No emotion toward brand or product,"['calyp', 'app', 'today', 'avail', 'itun', 'app', 'store', 'amp', 'android', 'market', 'special', 'perk', 'endors', 'sxsw', 'calyp', 'casa']",Android App,No emotion,0,0,0,0
1958,Google analytics can track offsite links as virtual page views using JavaScript. #moreknowledge #sxsw #mitharvard,Other Google product or service,Positive emotion,"['googl', 'analyt', 'track', 'offsit', 'link', 'virtual', 'page', 'view', 'use', 'javascript', 'moreknowledg', 'sxsw', 'mitharvard']",Google,No emotion,1,0,0,0
1959,Google analytics rocks #VIEW512 #SXSW,Other Google product or service,Positive emotion,"['googl', 'analyt', 'rock', 'view512', 'sxsw']",Google,Positive emotion,1,0,1,0
1960,Google team and panel say agencies have attitudes. You think?#agileagency #SXSW,,No emotion toward brand or product,"['googl', 'team', 'panel', 'say', 'agenc', 'attitud', 'think', 'agileag', 'sxsw']",Google,No emotion,0,0,0,0
1961,"At the Team Android party. Can't find it on Gowalla or Foursquare, so um, there you go. #sxsw",,I can't tell,"['team', 'android', 'parti', 'find', 'gowalla', 'foursquar', 'sxsw']",Android,No emotion,0,0,0,0
1962,Holler Gram for iPad on the iTunes App Store -  {link} (via @mention #sxsw,,Positive emotion,"['holler', 'gram', 'ipad', 'itun', 'app', 'store', 'link', 'via', 'mention', 'sxsw']",Ipad or Iphone App,No emotion,1,0,0,0
1963,Holler Gram for iPad on the iTunes App Store: {link} via @mention all you #SXSW-sters great App from #MadebyMany - Free,iPad or iPhone App,Positive emotion,"['holler', 'gram', 'ipad', 'itun', 'app', 'store', 'link', 'via', 'mention', 'sxsw', 'ster', 'great', 'app', 'madebymani', 'free']",Ipad or Iphone App,Positive emotion,1,0,1,0
1964,"UMSHINI WAM/NIGHT FISHING are both weird as shit, but as @mention said they work well together. I liked both, esp the iPhone footage. #SXSW",iPhone,Positive emotion,"['umshini', 'wam', 'night', 'fish', 'weird', 'shit', 'mention', 'said', 'work', 'well', 'togeth', 'like', 'esp', 'iphon', 'footag', 'sxsw']",Iphone,Positive emotion,1,0,1,0
1965,Could a game improve ecodriving habits? RT @mention ÛÏ35 million miles a day are driven while being Google Maps Navigation assisted.&quot;#sxsw,,No emotion toward brand or product,"['could', 'game', 'improv', 'ecodriv', 'habit', 'mention', 'ûï35', 'million', 'mile', 'day', 'driven', 'googl', 'map', 'navig', 'assist', 'quot', 'sxsw']",Google,No emotion,0,0,0,0
1966,Style X &amp; @mention - brethren #SXSW pop-ups! ://m.theatlantic.com/technology/archive/2011/03/apple-sets-up-temporary-megastore-at-sxsw/72296/,,No emotion toward brand or product,"['style', 'amp', 'mention', 'brethren', 'sxsw', 'pop', 'up', 'theatlant', 'com', 'technolog', 'archiv', '2011', 'appl', 'set', 'temporari', 'megastor', 'sxsw', '72296']",Apple,No emotion,0,0,0,0
1967,Marissa &amp; the Google crew recommend Amy's Ice Cream in Austin  #SxSW,,No emotion toward brand or product,"['marissa', 'amp', 'googl', 'crew', 'recommend', 'ami', 'ice', 'cream', 'austin', 'sxsw']",Google,No emotion,0,0,0,0
1968,"Watching an 8 year old report on #sxsw via his iPhone shows that technology isn't going anywhere...until the robots revolt, that is.",iPhone,Positive emotion,"['watch', 'year', 'old', 'report', 'sxsw', 'via', 'iphon', 'show', 'technolog', 'go', 'anywher', 'robot', 'revolt']",Iphone,No emotion,1,0,0,0
1969,"Now You Can Actually Use Q&amp;A Site Hipster, If YouÛªre At SXSW That Is {link} #CO #iPhone #online #SXSW",,No emotion toward brand or product,"['actual', 'use', 'amp', 'site', 'hipster', 'ûªre', 'sxsw', 'link', 'iphon', 'onlin', 'sxsw']",Iphone,No emotion,0,0,0,0
1970,We built an app to map driving directions to polling places before Google Maps. #SXSW ^PR,,No emotion toward brand or product,"['built', 'app', 'map', 'drive', 'direct', 'poll', 'place', 'googl', 'map', 'sxsw']",Android App,No emotion,0,0,0,0
1971,"There is an art to advertising, not just statistics, says @mention to Google Admob guy who asked a question.  #SXSW #sxflip #SXSWi",,No emotion toward brand or product,"['art', 'advertis', 'statist', 'say', 'mention', 'googl', 'admob', 'guy', 'ask', 'question', 'sxsw', 'sxflip', 'sxswi']",Google,No emotion,0,0,0,0
1972,Just won an awesome iPad from @mention at the #sxswbuffalo lounge! My #sxsw experience is complete!,iPad,Positive emotion,"['awesom', 'ipad', 'mention', 'sxswbuffalo', 'loung', 'sxsw', 'experi', 'complet']",Ipad,Positive emotion,1,0,1,0
1973,"#SXSW Vegan Guide Google Map (Austin, TX) ~ {link} ~ Based on the Lazy Smurf's info ~ {link}",Other Google product or service,Positive emotion,"['sxsw', 'vegan', 'guid', 'googl', 'map', 'austin', 'link', 'base', 'lazi', 'smurf', 'info', 'link']",Google,No emotion,1,0,0,0
1974,"Don't by an ipad 2 for the rear-facing camera, here is what you get: {link} #sxsw",iPad,Negative emotion,"['ipad', 'rear', 'face', 'camera', 'get', 'link', 'sxsw']",Ipad,No emotion,0,1,0,0
1975,"I'll use an iPad 2 if someone gives it to me. Otherwise, iPhone is actually more than up to task #sxsw",iPhone,Positive emotion,"['use', 'ipad', 'someon', 'give', 'otherwis', 'iphon', 'actual', 'task', 'sxsw']",Ipad,No emotion,1,0,0,0
1976,"Just buy an iPad 2 at #SXSW? Give it the finger. Better yet, give it four of 'em :: {link}",,I can't tell,"['buy', 'ipad', 'sxsw', 'give', 'finger', 'better', 'yet', 'give', 'four', 'link']",Ipad,No emotion,0,0,0,0
1977,Just won an iPad 2 at #sxsw thanks to @mention #fxsw,iPad,Positive emotion,"['ipad', 'sxsw', 'thank', 'mention', 'fxsw']",Ipad,No emotion,1,0,0,0
1978,Just got an iPad courtesy of a random stranger on the street...an Apple investor at #sxsw ... THANK YOU!!!! Utter... {link},iPad,Positive emotion,"['got', 'ipad', 'courtesi', 'random', 'stranger', 'street', 'appl', 'investor', 'sxsw', 'thank', 'utter', 'link']",Ipad,No emotion,1,0,0,0
1979,@mention An iPad is cheaper than most laptops. #newsapps #sxsw,iPad,Positive emotion,"['mention', 'ipad', 'cheaper', 'laptop', 'newsapp', 'sxsw']",Ipad,No emotion,1,0,0,0
1980,Is there an iPhone app that people use for #SXSW scheduling? This @mention is awesome but there isn't an app! #flummoxed,iPad or iPhone App,Positive emotion,"['iphon', 'app', 'peopl', 'use', 'sxsw', 'schedul', 'mention', 'awesom', 'app', 'flummox']",Ipad or Iphone App,Positive emotion,1,0,1,0
1981,"Just saw an iPhone #periscope move w/ 2nd camera @mention  gowalla talk @mention #sxsw. Snoring guy busted &amp; documented. Get a cpap, homie!",,No emotion toward brand or product,"['saw', 'iphon', 'periscop', 'move', '2nd', 'camera', 'mention', 'gowalla', 'talk', 'mention', 'sxsw', 'snore', 'guy', 'bust', 'amp', 'document', 'get', 'cpap', 'homi']",Iphone,No emotion,0,0,0,0
1982,Want a chance to win an iPad 2 while you're at #SXSW? Visit Aquent Booth 1413 {link},,No emotion toward brand or product,"['want', 'chanc', 'win', 'ipad', 'sxsw', 'visit', 'aquent', 'booth', '1413', 'link']",Ipad,No emotion,0,0,0,0
1983,@mention and @mention #SXSW Industry Party (@mention GSD&amp;M w/ 64 others) {link},,No emotion toward brand or product,"['mention', 'mention', 'sxsw', 'industri', 'parti', 'mention', 'gsd', 'amp', 'other', 'link']",,No emotion,0,0,0,0
1984,@mention and @mention open up a 64GB 3G iPad 2 - Unboxing and first look - @mention #ipad2 #ipad #apple {link} via @mention #sxsw,,No emotion toward brand or product,"['mention', 'mention', 'open', '64gb', 'ipad', 'unbox', 'first', 'look', 'mention', 'ipad2', 'ipad', 'appl', 'link', 'via', 'mention', 'sxsw']",Ipad,No emotion,0,0,0,0
1985,@mention and @mention saying hi at #sxsw with their new iPhone cases! #zazzlesxsw {link},,Positive emotion,"['mention', 'mention', 'say', 'sxsw', 'new', 'iphon', 'case', 'zazzlesxsw', 'link']",Iphone,No emotion,1,0,0,0
1986,@mention and @mention shooting some videos at #sxsw. PS - that is a pic from an iPad 2. {link},iPad,Positive emotion,"['mention', 'mention', 'shoot', 'video', 'sxsw', 'pic', 'ipad', 'link']",Ipad,No emotion,1,0,0,0
1987,"Computer and Droid here RT @mention My #agnerd confession, using laptop, iPad and blackberry to follow #SXSW from afar to see #agchat",,No emotion toward brand or product,"['comput', 'droid', 'mention', 'agnerd', 'confess', 'use', 'laptop', 'ipad', 'blackberri', 'follow', 'sxsw', 'afar', 'see', 'agchat']",Ipad,No emotion,0,0,0,0
1988,At #SXSW and having 10 times better luck with my Verizon air card than my AT&amp;T iPhone.,,No emotion toward brand or product,"['sxsw', 'time', 'better', 'luck', 'verizon', 'air', 'card', 'amp', 'iphon']",Iphone,No emotion,0,0,0,0
1989,@mention and I did a &quot;south by&quot; drive-by for this baby!! What an adventure!! #sxsw #iPad #fb  {link},,No emotion toward brand or product,"['mention', 'quot', 'south', 'quot', 'drive', 'babi', 'adventur', 'sxsw', 'ipad', 'link']",Ipad,No emotion,0,0,0,0
1990,"oh sure, and I don't arrive till tomorrow ........ ÛÏ@mention RT @mention Google set to launch new social network #Circles today at #sxswÛ",,No emotion toward brand or product,"['sure', 'arriv', 'till', 'tomorrow', 'mention', 'mention', 'googl', 'set', 'launch', 'new', 'social', 'network', 'circl', 'today', 'sxsw']",Google,No emotion,0,0,0,0
1991,"All tech and interaction events have their own ipad apps, right?    {link} #sxsw",,No emotion toward brand or product,"['tech', 'interact', 'event', 'ipad', 'app', 'right', 'link', 'sxsw']",Ipad or Iphone App,No emotion,0,0,0,0
1992,At #SXSW and need to get your iPad 2 right away? Apple is opening a pop-up store for you at West 6th &amp; Congress: {link},,No emotion toward brand or product,"['sxsw', 'need', 'get', 'ipad', 'right', 'away', 'appl', 'open', 'pop', 'store', 'west', '6th', 'amp', 'congress', 'link']",Ipad,No emotion,0,0,0,0
1993,"Check in and offers through Google, cool. {link} #SXSW",Google,Positive emotion,"['check', 'offer', 'googl', 'cool', 'link', 'sxsw']",Google,Positive emotion,1,0,1,0
1994,At #SXSW and want to win an iPad? Get on the case with @mention @mention and @mention,,No emotion toward brand or product,"['sxsw', 'want', 'win', 'ipad', 'get', 'case', 'mention', 'mention', 'mention']",Ipad,No emotion,0,0,0,0
1995,Was he standing? Talented... RT @mention eww &amp; LOL. RT @mention Just saw a guy tweeting on his iPad while peeing...This is #sxsw,,No emotion toward brand or product,"['stand', 'talent', 'mention', 'eww', 'amp', 'lol', 'mention', 'saw', 'guy', 'tweet', 'ipad', 'pee', 'sxsw']",Ipad,No emotion,0,0,0,0
1996,@mention android dev #sxsw @mention {link},,No emotion toward brand or product,"['mention', 'android', 'dev', 'sxsw', 'mention', 'link']",Android,No emotion,0,0,0,0
1997,Complete Android Guide (print) on sale at #sxsw bookstore today: $15. Include 99-cent upgrade to 2.4/3.0-ready ebook. Signing at 4:30!,,No emotion toward brand or product,"['complet', 'android', 'guid', 'print', 'sale', 'sxsw', 'bookstor', 'today', 'includ', 'cent', 'upgrad', 'readi', 'ebook', 'sign']",Android,No emotion,0,0,0,0
1998,@mention Android just got a big call out at #sxsw in they #gamelayer opening keynote. I knew you'd appreciate.,Android,Positive emotion,"['mention', 'android', 'got', 'big', 'call', 'sxsw', 'gamelay', 'open', 'keynot', 'knew', 'appreci']",Android,Positive emotion,1,0,1,0
1999,@mention Android needs a way to group apps like you can now do with iPad/iPod. #SXSW #hhrs,Android,Negative emotion,"['mention', 'android', 'need', 'way', 'group', 'app', 'like', 'ipad', 'ipod', 'sxsw', 'hhr']",Ipad or Iphone App,Positive emotion,0,1,1,0
2000,Building Android or iOS applications? We've got a tool that can do both - #SXSW Ballroom A at 11:00,,No emotion toward brand or product,"['build', 'android', 'io', 'applic', 'got', 'tool', 'sxsw', 'ballroom']",Android,No emotion,0,0,0,0
2001,"iPad2 vs Android vs the World. With a title like this, I have a near hockey-fan esque desire for a fight to break out. #gsdm #sxsw #platform",,No emotion toward brand or product,"['ipad2', 'android', 'world', 'titl', 'like', 'near', 'hockey', 'fan', 'esqu', 'desir', 'fight', 'break', 'gsdm', 'sxsw', 'platform']",Android,Positive emotion,0,0,1,0
2002,"Awesome hands on review of the iPad 2 coming tomorrow on @mention , guest post by @mention - he's at #SXSW",iPad,Positive emotion,"['awesom', 'hand', 'review', 'ipad', 'come', 'tomorrow', 'mention', 'guest', 'post', 'mention', 'sxsw']",Ipad,Positive emotion,1,0,1,0
2003,Woke up sandwiched between my iPhone and iPad. I forgot how much #SXSW was like geek spring break,,No emotion toward brand or product,"['woke', 'sandwich', 'iphon', 'ipad', 'forgot', 'much', 'sxsw', 'like', 'geek', 'spring', 'break']",Ipad,Positive emotion,0,0,1,0
2004,"Paywall panel: Daniel Bernard WSJ:
In app (game) purchases are frictionless like apple. &quot;the new free&quot; #sxsw",,No emotion toward brand or product,"['paywal', 'panel', 'daniel', 'bernard', 'wsj', 'app', 'game', 'purchas', 'frictionless', 'like', 'appl', 'quot', 'new', 'free', 'quot', 'sxsw']",Ipad or Iphone App,Positive emotion,0,0,1,0
2005,#LonelyPlanet #Austin iPhone app is a (free!) godsend. GPS-aware map of the city without the need for 3G or WiFi! #sxsw,iPad or iPhone App,Positive emotion,"['lonelyplanet', 'austin', 'iphon', 'app', 'free', 'godsend', 'gp', 'awar', 'map', 'citi', 'without', 'need', 'wifi', 'sxsw']",Ipad or Iphone App,No emotion,1,0,0,0
2006,lonely planet austin guide on the iphone free download for a limited period {link} #sxsw,,No emotion toward brand or product,"['lone', 'planet', 'austin', 'guid', 'iphon', 'free', 'download', 'limit', 'period', 'link', 'sxsw']",Iphone,No emotion,0,0,0,0
2007,"Lonely Planet has made the Austin Guide free for #sxsw grab it, you never know when you will need it. {link}",,No emotion toward brand or product,"['lone', 'planet', 'made', 'austin', 'guid', 'free', 'sxsw', 'grab', 'never', 'know', 'need', 'link']",,No emotion,0,0,0,0
2008,Lonely Planet releases free Austin city guide iPhone app for #SXSW. Like there aren't enough apps cluttering up your handset.,iPad or iPhone App,Negative emotion,"['lone', 'planet', 'releas', 'free', 'austin', 'citi', 'guid', 'iphon', 'app', 'sxsw', 'like', 'enough', 'app', 'clutter', 'handset']",Ipad or Iphone App,Positive emotion,0,1,1,0
2009,Lonely Planet's free guide to Austin: {link} iPhone #sxsw,,No emotion toward brand or product,"['lone', 'planet', 'free', 'guid', 'austin', 'link', 'iphon', 'sxsw']",Iphone,No emotion,0,0,0,0
2010,Lonely Planet's new iPhone Austin city guide is free March 9-15 for those going to #SXSW! {link} #travel,iPad or iPhone App,Positive emotion,"['lone', 'planet', 'new', 'iphon', 'austin', 'citi', 'guid', 'free', 'march', 'go', 'sxsw', 'link', 'travel']",Iphone,No emotion,1,0,0,0
2011,Game mechanics talk with google at sxsw is so packed there's a long line still waiting to get in. #sxsw,,No emotion toward brand or product,"['game', 'mechan', 'talk', 'googl', 'sxsw', 'pack', 'long', 'line', 'still', 'wait', 'get', 'sxsw']",Google,Positive emotion,0,0,1,0
2012,Has spontaniety in life been replaced by technology? When your iPhone battery dies you go home. Great ? At #busy #sxsw,iPhone,No emotion toward brand or product,"['spontanieti', 'life', 'replac', 'technolog', 'iphon', 'batteri', 'die', 'home', 'great', 'busi', 'sxsw']",Iphone,Positive emotion,0,0,1,0
2013,The day Bank of America launched their iPhone app they got 250k new customers #bankinnovation #SXSW,iPad or iPhone App,Positive emotion,"['day', 'bank', 'america', 'launch', 'iphon', 'app', 'got', '250k', 'new', 'custom', 'bankinnov', 'sxsw']",Ipad or Iphone App,No emotion,1,0,0,0
2014,"A huge THANK U to the nice person who found my iPhone (blue, white stripes) on the 4th floor of the ConventionCenter &amp; brought it back #sxsw",,No emotion toward brand or product,"['huge', 'thank', 'nice', 'person', 'found', 'iphon', 'blue', 'white', 'stripe', '4th', 'floor', 'conventioncent', 'amp', 'brought', 'back', 'sxsw']",Iphone,Positive emotion,0,0,1,0
2015,#sxsw  thanks for the ever present iPhone barging tables...,,Positive emotion,"['sxsw', 'thank', 'ever', 'present', 'iphon', 'barg', 'tabl']",Iphone,No emotion,1,0,0,0
2016,@mention announces #windowsphone app today #sxsw {link} #wp7,,No emotion toward brand or product,"['mention', 'announc', 'windowsphon', 'app', 'today', 'sxsw', 'link', 'wp7']",Android App,No emotion,0,0,0,0
2017,@mention another google social failure? #sxsw,Google,Negative emotion,"['mention', 'anoth', 'googl', 'social', 'failur', 'sxsw']",Google,No emotion,0,1,0,0
2018,Google plans to bring &quot;The Power of Here&quot; to life in the future by linking the digital and the physical worlds. {link} #sxsw,,Positive emotion,"['googl', 'plan', 'bring', 'quot', 'power', 'quot', 'life', 'futur', 'link', 'digit', 'physic', 'world', 'link', 'sxsw']",Google,No emotion,1,0,0,0
2019,"Google plans to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw",,No emotion toward brand or product,"['googl', 'plan', 'launch', 'major', 'new', 'social', 'network', 'call', 'circl', 'possibl', 'today', 'link', 'sxsw']",Google,No emotion,0,0,0,0
2020,Austinl fans: RT @mention Head over to {link} by 1pm CST today to win VIP access to my acoustic solo set at #SXSW tonight,,No emotion toward brand or product,"['austinl', 'fan', 'mention', 'head', 'link', '1pm', 'cst', 'today', 'win', 'vip', 'access', 'acoust', 'solo', 'set', 'sxsw', 'tonight']",,No emotion,0,0,0,0
2021,mom...I want my ipad 2 back! {link} #thingsthatdontgotogether #sxsw Lisa Rinna,iPad,Positive emotion,"['mom', 'want', 'ipad', 'back', 'link', 'thingsthatdontgotogeth', 'sxsw', 'lisa', 'rinna']",Ipad,No emotion,1,0,0,0
2022,I don't want to lose your love #google #SXSW,Google,Positive emotion,"['want', 'lose', 'love', 'googl', 'sxsw']",Google,Positive emotion,1,0,1,0
2023,So brilliant. Rosso used a google  doc to paste in a recipe to make mothers think they generated a recipe for her. #leanstartup #sxsw,Other Google product or service,Positive emotion,"['brilliant', 'rosso', 'use', 'googl', 'doc', 'past', 'recip', 'make', 'mother', 'think', 'gener', 'recip', 'leanstartup', 'sxsw']",Google,No emotion,1,0,0,0
2024,Hello gigantic line outside Google v Bing SEO session. #sxsw #sxswi,,No emotion toward brand or product,"['hello', 'gigant', 'line', 'outsid', 'googl', 'bing', 'seo', 'session', 'sxsw', 'sxswi']",Google,No emotion,0,0,0,0
2025,what company company has the best supply chain? Walmart and Apple #behance #sxsw,Apple,Positive emotion,"['compani', 'compani', 'best', 'suppli', 'chain', 'walmart', 'appl', 'behanc', 'sxsw']",Apple,Positive emotion,1,0,1,0
